Stock,Ages,Parameter,Year,0,1,2,3,4,5,6,7,8,Units,Ref
NSAS,0 to 8+,waa,2010,7.133333,52.233333,142.266667,190.366667,216.266667,223.6,234.2,240.1,260.682861,g,"Table 2.6.3.3, 2015 HAWG report"
NSAS,0 to 8+,waa,2011,6.666667,43.166667,145.3,187.433333,225.066667,239.366667,243.5,250.766667,257.247512,g,"Table 2.6.3.3, 2015 HAWG report"
NSAS,0 to 8+,waa,2012,6.1,40.56667,137.63333,182.13333,211.43333,232.73333,240.8,242.9,252.46564,g,"Table 2.6.3.3, 2015 HAWG report"
NSAS,0 to 8+,waa,2013,6.233333,40.466667,135.4,174.666667,208.733333,221.1,241.766667,249.3,251.841351,g,"Table 2.6.3.3, 2015 HAWG report"
NSAS,0 to 8+,waa,2014,5.666667,43.4,128.533333,176.7,203.666667,215.6,228.433333,241.2,246.701036,g,"Table 2.6.3.3, 2015 HAWG report"
NSAS,0 to 8+,M,2010,0.9630652,0.6284271,0.3504123,0.3342612,0.3289086,0.3070936,0.3001065,0.2918243,0.2918243,NA,"Table 2.6.3.4, 2015 HAWG report"
NSAS,0 to 8+,M,2011,0.960093,0.6718588,0.3823698,0.357191,0.3484127,0.3303257,0.3244418,0.318338,0.318338,NA,"Table 2.6.3.4, 2015 HAWG report"
NSAS,0 to 8+,M,2012,0.9622293,0.6631198,0.3760086,0.352676,0.3446658,0.3258084,0.3196442,0.3130572,0.3130572,NA,"Table 2.6.3.4, 2015 HAWG report"
NSAS,0 to 8+,M,2013,0.9633125,0.652826,0.368504,0.3473173,0.340138,0.3203958,0.3139564,0.3068456,0.3068456,NA,"Table 2.6.3.4, 2015 HAWG report"
NSAS,0 to 8+,M,2014,0.9635088,0.6411662,0.3599285,0.3411519,0.3348617,0.3141293,0.3074173,0.2997413,0.2997413,NA,"Table 2.6.3.4, 2015 HAWG report"
NSAS,0 to 8+,mat,2010,0,0,0.45,0.9,1,1,1,1,1,NA,"Table 2.6.3.5, 2015 HAWG report"
NSAS,0 to 8+,mat,2011,0,0,0.87,0.84,1,1,1,1,1,NA,"Table 2.6.3.5, 2015 HAWG report"
NSAS,0 to 8+,mat,2012,0,0,0.91,0.99,1,1,1,1,1,NA,"Table 2.6.3.5, 2015 HAWG report"
NSAS,0 to 8+,mat,2013,0,0,0.83,0.96,0.98,1,1,1,1,NA,"Table 2.6.3.5, 2015 HAWG report"
NSAS,0 to 8+,mat,2014,0,0,0.85,1,1,1,1,1,1,NA,"Table 2.6.3.5, 2015 HAWG report"
NSAS,0 to 8+,F,2010,0.03564665,0.01584977,0.06056125,0.08852237,0.10192684,0.13256264,0.12374899,0.11376732,0.11376732,NA,"Table 2.6.3.13, 2015 HAWG report"
NSAS,0 to 8+,F,2011,0.03219642,0.03334992,0.07189849,0.13340042,0.16562982,0.2052144,0.21965437,0.260983,0.260983,NA,"Table 2.6.3.13, 2015 HAWG report"
NSAS,0 to 8+,F,2012,0.0210154,0.04115129,0.07426615,0.12650164,0.19489389,0.26482131,0.31114383,0.39335215,0.39335215,NA,"Table 2.6.3.13, 2015 HAWG report"
